waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
4 bulan lalu,Ruang publik untuk olahraga dan bersantai ria bersama keluarga ...,Ruang publik untuk olahraga dan bersantai ria bersama keluarga ,ruang publik untuk olahraga dan bersantai ria bersama keluarga ,ruang publik untuk olahraga dan bersantai ria bersama keluarga,"['ruang', 'publik', 'untuk', 'olahraga', 'dan', 'bersantai', 'ria', 'bersama', 'keluarga']","['ruang', 'publik', 'olahraga', 'bersantai', 'ria', 'keluarga']",ruang publik olahraga santa ria keluarga
4 bulan lalu,Berjalan menuju alun-alun Wonosobo sambil berjalan kaki,Berjalan menuju alunalun Wonosobo sambil berjalan kaki,berjalan menuju alunalun wonosobo sambil berjalan kaki,berjalan menuju wonosobo sambil berjalan kaki,"['berjalan', 'menuju', 'wonosobo', 'sambil', 'berjalan', 'kaki']","['berjalan', 'wonosobo', 'berjalan', 'kaki']",jalan wonosobo jalan kaki
4 bulan lalu,Banyak orang yang berkunjung,Banyak orang yang berkunjung,banyak orang yang berkunjung,banyak orang yang berkunjung,"['banyak', 'orang', 'yang', 'berkunjung']","['orang', 'berkunjung']",orang kunjung
4 bulan lalu,Sudah tertata rapi,Sudah tertata rapi,sudah tertata rapi,sudah tertata rapi,"['sudah', 'tertata', 'rapi']","['tertata', 'rapi']",tata rapi
4 bulan lalu,Mie ongklok kaki lima sambil ngadem karena banyak pohon rindang,Mie ongklok kaki lima sambil ngadem karena banyak pohon rindang,mie ongklok kaki lima sambil ngadem karena banyak pohon rindang,mie ongklok kaki lima sambil ngadem karena banyak pohon rindang,"['mie', 'ongklok', 'kaki', 'lima', 'sambil', 'ngadem', 'karena', 'banyak', 'pohon', 'rindang']","['mie', 'ongklok', 'kaki', 'ngadem', 'pohon', 'rindang']",mie ongklok kaki ngadem pohon rindang
4 bulan lalu,Tempatnya hiburan rakyat yang menyenangkan .tambah lagi sama kulineran .view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,Tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah kelihatan gunung ini sangat indah di pandang mata,"['tempatnya', 'hiburan', 'rakyat', 'yang', 'menyenangkan', 'tambah', 'lagi', 'sama', 'kulineran', 'view', 'sangat', 'bagus', 'kalau', 'lagi', 'cerah', 'kelihatan', 'gunung', 'ini', 'sangat', 'indah', 'di', 'pandang', 'mata']","['tempatnya', 'hiburan', 'rakyat', 'menyenangkan', 'kulineran', 'view', 'bagus', 'cerah', 'gunung', 'indah', 'pandang', 'mata']",tempat hibur rakyat senang kuliner view bagus cerah gunung indah pandang mata
4 bulan lalu,"Bagus, bisa untuk olahraga, tempat yang aman dan nyaman",Bagus bisa untuk olahraga tempat yang aman dan nyaman,bagus bisa untuk olahraga tempat yang aman dan nyaman,bagus bisa untuk olahraga tempat yang aman dan nyaman,"['bagus', 'bisa', 'untuk', 'olahraga', 'tempat', 'yang', 'aman', 'dan', 'nyaman']","['bagus', 'olahraga', 'aman', 'nyaman']",bagus olahraga aman nyaman
4 bulan lalu,Nyaman. Ada wifi nya banyak,Nyaman Ada wifi nya banyak,nyaman ada wifi nya banyak,nyaman ada wifi ya banyak,"['nyaman', 'ada', 'wifi', 'ya', 'banyak']","['nyaman', 'wifi', 'ya']",nyaman wifi ya
4 bulan lalu,"Adem , banyak burung blekok berterbangan ,nambah asri...
Ada kenangan , hp ketinggalan di Masjid Selomerto, alhamdulillah marbotnya amanah👍❤.. …","Adem  banyak burung blekok berterbangan nambah asri
Ada kenangan  hp ketinggalan di Masjid Selomerto alhamdulillah marbotnya amanah ","adem  banyak burung blekok berterbangan nambah asri
ada kenangan  hp ketinggalan di masjid selomerto alhamdulillah marbotnya amanah ",adem banyak burung blekok berterbangan menambah asri ada kenangan hp ketinggalan di masjid selomerto alhamdulillah marbotnya amanah,"['adem', 'banyak', 'burung', 'blekok', 'berterbangan', 'menambah', 'asri', 'ada', 'kenangan', 'hp', 'ketinggalan', 'di', 'masjid', 'selomerto', 'alhamdulillah', 'marbotnya', 'amanah']","['adem', 'burung', 'blekok', 'berterbangan', 'menambah', 'asri', 'kenangan', 'hp', 'ketinggalan', 'masjid', 'selomerto', 'alhamdulillah', 'marbotnya', 'amanah']",adem burung blekok bangan tambah asri kenang hp tinggal masjid selomerto alhamdulillah marbotnya amanah
4 bulan lalu,Bagus untuk ngajak jalan ''  anak,Bagus untuk ngajak jalan   anak,bagus untuk ngajak jalan   anak,bagus untuk mengajak jalan anak,"['bagus', 'untuk', 'mengajak', 'jalan', 'anak']","['bagus', 'mengajak', 'jalan', 'anak']",bagus ajak jalan anak
4 bulan lalu,Nyaman buat nyore bareng keluarga.. Ada beberapa mainan dan makanan.. Salam dari team Bubur Ayam Om Aan Banjarnegara Jawa Tengah,Nyaman buat nyore bareng keluarga Ada beberapa mainan dan makanan Salam dari team Bubur Ayam Om Aan Banjarnegara Jawa Tengah,nyaman buat nyore bareng keluarga ada beberapa mainan dan makanan salam dari team bubur ayam om aan banjarnegara jawa tengah,nyaman buat nyore bareng keluarga ada beberapa mainan dan makanan salam dari team bubur ayam om aan banjarnegara jawa tengah,"['nyaman', 'buat', 'nyore', 'bareng', 'keluarga', 'ada', 'beberapa', 'mainan', 'dan', 'makanan', 'salam', 'dari', 'team', 'bubur', 'ayam', 'om', 'aan', 'banjarnegara', 'jawa', 'tengah']","['nyaman', 'nyore', 'bareng', 'keluarga', 'mainan', 'makanan', 'salam', 'team', 'bubur', 'ayam', 'om', 'aan', 'banjarnegara', 'jawa']",nyaman nyore bareng keluarga main makan salam team bubur ayam om aan banjarnegara jawa
4 bulan lalu,Cocok untuk menyendiri di malam hari. Ketika ada masalah keluar malam hari bawa kopi dan duduk di sini. Tenang saja kadang ada bapak polisi dan ada bapak tentara juga jadi aman. Adem ,Cocok untuk menyendiri di malam hari Ketika ada masalah keluar malam hari bawa kopi dan duduk di sini Tenang saja kadang ada bapak polisi dan ada bapak tentara juga jadi aman Adem ,cocok untuk menyendiri di malam hari ketika ada masalah keluar malam hari bawa kopi dan duduk di sini tenang saja kadang ada bapak polisi dan ada bapak tentara juga jadi aman adem ,cocok untuk menyendiri di malam hari ketika ada masalah keluar malam hari bawa kopi dan duduk di sini tenang saja kadang ada bapak polisi dan ada bapak tentara juga jadi aman adem,"['cocok', 'untuk', 'menyendiri', 'di', 'malam', 'hari', 'ketika', 'ada', 'masalah', 'keluar', 'malam', 'hari', 'bawa', 'kopi', 'dan', 'duduk', 'di', 'sini', 'tenang', 'saja', 'kadang', 'ada', 'bapak', 'polisi', 'dan', 'ada', 'bapak', 'tentara', 'juga', 'jadi', 'aman', 'adem']","['cocok', 'menyendiri', 'malam', 'malam', 'bawa', 'kopi', 'duduk', 'tenang', 'kadang', 'polisi', 'tentara', 'aman', 'adem']",cocok sendiri malam malam bawa kopi duduk tenang kadang polisi tentara aman adem
4 bulan lalu,"Alun-alun Wonosobo adalah tempat yang sangat nyaman dan menyenangkan untuk dikunjungi, terutama jika Anda sedang berkumpul bersama teman-teman atau keluarga. Ketika saya dan teman-teman datang ke sana untuk sebuah gathering komunitas …",Alunalun Wonosobo adalah tempat yang sangat nyaman dan menyenangkan untuk dikunjungi terutama jika Anda sedang berkumpul bersama temanteman atau keluarga Ketika saya dan temanteman datang ke sana untuk sebuah gathering komunitas ,alunalun wonosobo adalah tempat yang sangat nyaman dan menyenangkan untuk dikunjungi terutama jika anda sedang berkumpul bersama temanteman atau keluarga ketika saya dan temanteman datang ke sana untuk sebuah gathering komunitas ,wonosobo adalah tempat yang sangat nyaman dan menyenangkan untuk dikunjungi terutama jika anda sedang berkumpul bersama atau keluarga ketika saya dan datang ke sana untuk sebuah gathering komunitas,"['wonosobo', 'adalah', 'tempat', 'yang', 'sangat', 'nyaman', 'dan', 'menyenangkan', 'untuk', 'dikunjungi', 'terutama', 'jika', 'anda', 'sedang', 'berkumpul', 'bersama', 'atau', 'keluarga', 'ketika', 'saya', 'dan', 'datang', 'ke', 'sana', 'untuk', 'sebuah', 'gathering', 'komunitas']","['wonosobo', 'nyaman', 'menyenangkan', 'dikunjungi', 'berkumpul', 'keluarga', 'gathering', 'komunitas']",wonosobo nyaman senang kunjung kumpul keluarga gathering komunitas
4 bulan lalu,Semoga fasilitas pendukungnya di perbaharui lagi terutama untuk permainan anak anak... rumputnya jg bisa lbh terawat biar anak anak ssb yang latihan disana bisa lbh maksimal,Semoga fasilitas pendukungnya di perbaharui lagi terutama untuk permainan anak anak rumputnya jg bisa lbh terawat biar anak anak ssb yang latihan disana bisa lbh maksimal,semoga fasilitas pendukungnya di perbaharui lagi terutama untuk permainan anak anak rumputnya jg bisa lbh terawat biar anak anak ssb yang latihan disana bisa lbh maksimal,semoga fasilitas pendukungnya di perbaharui lagi terutama untuk permainan anak anak rumputnya juga bisa lebih terawat biar anak anak yang latihan disana bisa lebih maksimal,"['semoga', 'fasilitas', 'pendukungnya', 'di', 'perbaharui', 'lagi', 'terutama', 'untuk', 'permainan', 'anak', 'anak', 'rumputnya', 'juga', 'bisa', 'lebih', 'terawat', 'biar', 'anak', 'anak', 'yang', 'latihan', 'disana', 'bisa', 'lebih', 'maksimal']","['semoga', 'fasilitas', 'pendukungnya', 'perbaharui', 'permainan', 'anak', 'anak', 'rumputnya', 'terawat', 'biar', 'anak', 'anak', 'latihan', 'disana', 'maksimal']",moga fasilitas dukung baharu main anak anak rumput awat biar anak anak latih sana maksimal
4 bulan lalu,"Terlalu padat dengan pedagang, kenyamanan berkurang",Terlalu padat dengan pedagang kenyamanan berkurang,terlalu padat dengan pedagang kenyamanan berkurang,terlalu padat dengan pedagang kenyamanan berkurang,"['terlalu', 'padat', 'dengan', 'pedagang', 'kenyamanan', 'berkurang']","['padat', 'pedagang', 'kenyamanan', 'berkurang']",padat dagang nyaman kurang
4 bulan lalu,Tempat yang nyaman untuk wisata dengan si kecil karena banyak wahana permainan murah meriah,Tempat yang nyaman untuk wisata dengan si kecil karena banyak wahana permainan murah meriah,tempat yang nyaman untuk wisata dengan si kecil karena banyak wahana permainan murah meriah,tempat yang nyaman untuk wisata dengan sih kecil karena banyak wahana permainan murah meriah,"['tempat', 'yang', 'nyaman', 'untuk', 'wisata', 'dengan', 'sih', 'kecil', 'karena', 'banyak', 'wahana', 'permainan', 'murah', 'meriah']","['nyaman', 'wisata', 'sih', 'wahana', 'permainan', 'murah', 'meriah']",nyaman wisata sih wahana main murah riah
4 bulan lalu,Masih dingin saja,Masih dingin saja,masih dingin saja,masih dingin saja,"['masih', 'dingin', 'saja']",['dingin'],dingin
4 bulan lalu,Luas ..tapi sayangnya kesana HR Kamis jd sepi walaupun pas liburan,Luas tapi sayangnya kesana HR Kamis jd sepi walaupun pas liburan,luas tapi sayangnya kesana hr kamis jd sepi walaupun pas liburan,luas tapi sayangnya kesana hari kamis jadi sepi walaupun pas liburan,"['luas', 'tapi', 'sayangnya', 'kesana', 'hari', 'kamis', 'jadi', 'sepi', 'walaupun', 'pas', 'liburan']","['luas', 'sayangnya', 'kesana', 'kamis', 'sepi', 'pas', 'liburan']",luas sayang kesana kamis sepi pas libur
4 bulan lalu,Kalau bisa di kasih tempat yang bagus buat pedagang kaki limanya stand nya.. Biar kulinernya tertata rapi.. Jadi alun alun Wonosobo sebagai ikon nya kuliner.,Kalau bisa di kasih tempat yang bagus buat pedagang kaki limanya stand nya Biar kulinernya tertata rapi Jadi alun alun Wonosobo sebagai ikon nya kuliner,kalau bisa di kasih tempat yang bagus buat pedagang kaki limanya stand nya biar kulinernya tertata rapi jadi alun alun wonosobo sebagai ikon nya kuliner,kalau bisa di kasih tempat yang bagus buat pedagang kaki limanya stand ya biar kulinernya tertata rapi jadi alun alun wonosobo sebagai ikon ya kuliner,"['kalau', 'bisa', 'di', 'kasih', 'tempat', 'yang', 'bagus', 'buat', 'pedagang', 'kaki', 'limanya', 'stand', 'ya', 'biar', 'kulinernya', 'tertata', 'rapi', 'jadi', 'alun', 'alun', 'wonosobo', 'sebagai', 'ikon', 'ya', 'kuliner']","['kasih', 'bagus', 'pedagang', 'kaki', 'limanya', 'stand', 'ya', 'biar', 'kulinernya', 'tertata', 'rapi', 'alun', 'alun', 'wonosobo', 'ikon', 'ya', 'kuliner']",kasih bagus dagang kaki lima stand ya biar kuliner tata rapi alun alun wonosobo ikon ya kuliner
4 bulan lalu,"Mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun .
Kotorannya sudah sangat mengganggu kenyamanan masyarakat.Banyak sekali kotoran …","Mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun 
Kotorannya sudah sangat mengganggu kenyamanan masyarakatBanyak sekali kotoran ","mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun 
kotorannya sudah sangat mengganggu kenyamanan masyarakatbanyak sekali kotoran ",mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun kotorannya sudah sangat mengganggu kenyamanan masyarakatbanyak sekali kotoran,"['mohon', 'kepada', 'pihak', 'yang', 'berwenang', 'untuk', 'mencari', 'solusi', 'terkait', 'burung', 'burung', 'yang', 'bersarang', 'di', 'pepohonan', 'di', 'sekeliling', 'alun', 'alun', 'kotorannya', 'sudah', 'sangat', 'mengganggu', 'kenyamanan', 'masyarakatbanyak', 'sekali', 'kotoran']","['mohon', 'berwenang', 'mencari', 'solusi', 'terkait', 'burung', 'burung', 'bersarang', 'pepohonan', 'sekeliling', 'alun', 'alun', 'kotorannya', 'mengganggu', 'kenyamanan', 'masyarakatbanyak', 'kotoran']",mohon wenang cari solusi kait burung burung sarang pohon keliling alun alun kotor ganggu nyaman masyarakatbanyak kotor
4 bulan lalu,Cukup bagus dan nyaman. Tapi kondisinya rawan banget macet kalau banyak mobil yang jalan.,Cukup bagus dan nyaman Tapi kondisinya rawan banget macet kalau banyak mobil yang jalan,cukup bagus dan nyaman tapi kondisinya rawan banget macet kalau banyak mobil yang jalan,cukup bagus dan nyaman tapi kondisinya rawan banget macet kalau banyak mobil yang jalan,"['cukup', 'bagus', 'dan', 'nyaman', 'tapi', 'kondisinya', 'rawan', 'banget', 'macet', 'kalau', 'banyak', 'mobil', 'yang', 'jalan']","['bagus', 'nyaman', 'kondisinya', 'rawan', 'banget', 'macet', 'mobil', 'jalan']",bagus nyaman kondisi rawan banget macet mobil jalan
4 bulan lalu,sejuk asri dan banyak kulinernya,sejuk asri dan banyak kulinernya,sejuk asri dan banyak kulinernya,sejuk asri dan banyak kulinernya,"['sejuk', 'asri', 'dan', 'banyak', 'kulinernya']","['sejuk', 'asri', 'kulinernya']",sejuk asri kuliner
4 bulan lalu,Surprisingly entertaining,Surprisingly entertaining,surprisingly entertaining,surprisingly entertaining,"['surprisingly', 'entertaining']","['surprisingly', 'entertaining']",surprisingly entertaining
4 bulan lalu,"Tempatnya bagus buat nongkrong, suasananya juga sejuk,banyak stand² makanan disini jadi gak perlu khawatir kelaparan",Tempatnya bagus buat nongkrong suasananya juga sejukbanyak stand makanan disini jadi gak perlu khawatir kelaparan,tempatnya bagus buat nongkrong suasananya juga sejukbanyak stand makanan disini jadi gak perlu khawatir kelaparan,tempatnya bagus buat nongkrong suasananya juga sejukbanyak stand makanan disini jadi tidak perlu khawatir kelaparan,"['tempatnya', 'bagus', 'buat', 'nongkrong', 'suasananya', 'juga', 'sejukbanyak', 'stand', 'makanan', 'disini', 'jadi', 'tidak', 'perlu', 'khawatir', 'kelaparan']","['tempatnya', 'bagus', 'nongkrong', 'suasananya', 'sejukbanyak', 'stand', 'makanan', 'khawatir', 'kelaparan']",tempat bagus nongkrong suasana sejukbanyak stand makan khawatir lapar
4 bulan lalu,"Seharusnya ini adalah tempat terbaik bagi masyarakat Wonosobo untuk berkumpul dan bersenang-senang bersama, namun sepertinya masih perlu perbaikan di beberapa area, terutama di bagian yang akan dijadikan tempat iklan, tempat duduk untuk nongkrong, dan yang paling penting kebersihan fasilitas umum serta penataan area bagi pedagang kaki lima agar tidak mengganggu kenyamanan pengunjung.",Seharusnya ini adalah tempat terbaik bagi masyarakat Wonosobo untuk berkumpul dan bersenangsenang bersama namun sepertinya masih perlu perbaikan di beberapa area terutama di bagian yang akan dijadikan tempat iklan tempat duduk untuk nongkrong dan yang paling penting kebersihan fasilitas umum serta penataan area bagi pedagang kaki lima agar tidak mengganggu kenyamanan pengunjung,seharusnya ini adalah tempat terbaik bagi masyarakat wonosobo untuk berkumpul dan bersenangsenang bersama namun sepertinya masih perlu perbaikan di beberapa area terutama di bagian yang akan dijadikan tempat iklan tempat duduk untuk nongkrong dan yang paling penting kebersihan fasilitas umum serta penataan area bagi pedagang kaki lima agar tidak mengganggu kenyamanan pengunjung,seharusnya ini adalah tempat terbaik bagi masyarakat wonosobo untuk berkumpul dan bersenangsenang bersama namun sepertinya masih perlu perbaikan di beberapa area terutama di bagian yang akan dijadikan tempat iklan tempat duduk untuk nongkrong dan yang paling penting kebersihan fasilitas umum serta penataan area bagi pedagang kaki lima agar tidak mengganggu kenyamanan pengunjung,"['seharusnya', 'ini', 'adalah', 'tempat', 'terbaik', 'bagi', 'masyarakat', 'wonosobo', 'untuk', 'berkumpul', 'dan', 'bersenangsenang', 'bersama', 'namun', 'sepertinya', 'masih', 'perlu', 'perbaikan', 'di', 'beberapa', 'area', 'terutama', 'di', 'bagian', 'yang', 'akan', 'dijadikan', 'tempat', 'iklan', 'tempat', 'duduk', 'untuk', 'nongkrong', 'dan', 'yang', 'paling', 'penting', 'kebersihan', 'fasilitas', 'umum', 'serta', 'penataan', 'area', 'bagi', 'pedagang', 'kaki', 'lima', 'agar', 'tidak', 'mengganggu', 'kenyamanan', 'pengunjung']","['terbaik', 'masyarakat', 'wonosobo', 'berkumpul', 'bersenangsenang', 'perbaikan', 'area', 'dijadikan', 'iklan', 'duduk', 'nongkrong', 'kebersihan', 'fasilitas', 'penataan', 'area', 'pedagang', 'kaki', 'mengganggu', 'kenyamanan', 'pengunjung']",baik masyarakat wonosobo kumpul bersenangsenang baik area jadi iklan duduk nongkrong bersih fasilitas tata area dagang kaki ganggu nyaman unjung
4 bulan lalu,"Tempat bersih dan terawat, udara sejuk, pohon rindang, banyak tempat duduk",Tempat bersih dan terawat udara sejuk pohon rindang banyak tempat duduk,tempat bersih dan terawat udara sejuk pohon rindang banyak tempat duduk,tempat bersih dan terawat udara sejuk pohon rindang banyak tempat duduk,"['tempat', 'bersih', 'dan', 'terawat', 'udara', 'sejuk', 'pohon', 'rindang', 'banyak', 'tempat', 'duduk']","['bersih', 'terawat', 'udara', 'sejuk', 'pohon', 'rindang', 'duduk']",bersih awat udara sejuk pohon rindang duduk
5 bulan lalu,Tempat yang bagus,Tempat yang bagus,tempat yang bagus,tempat yang bagus,"['tempat', 'yang', 'bagus']",['bagus'],bagus
5 bulan lalu,Bersih dan nyaman suasana malam hari...cukup banyak kuliner,Bersih dan nyaman suasana malam haricukup banyak kuliner,bersih dan nyaman suasana malam haricukup banyak kuliner,bersih dan nyaman suasana malam haricukup banyak kuliner,"['bersih', 'dan', 'nyaman', 'suasana', 'malam', 'haricukup', 'banyak', 'kuliner']","['bersih', 'nyaman', 'suasana', 'malam', 'haricukup', 'kuliner']",bersih nyaman suasana malam haricukup kuliner
5 bulan lalu,Banyak penjual makanan. Rumputnya tinggi-tinggi mungkin karena musim hhujan.,Banyak penjual makanan Rumputnya tinggitinggi mungkin karena musim hhujan,banyak penjual makanan rumputnya tinggitinggi mungkin karena musim hhujan,banyak penjual makanan rumputnya tinggitinggi mungkin karena musim hhujan,"['banyak', 'penjual', 'makanan', 'rumputnya', 'tinggitinggi', 'mungkin', 'karena', 'musim', 'hhujan']","['penjual', 'makanan', 'rumputnya', 'tinggitinggi', 'musim', 'hhujan']",jual makan rumput tinggitinggi musim hhujan
5 bulan lalu,"- kota yang asri dengan cuaca sejuk dingin
- alun alun kota yang terawat kebersihan dan kenyamanannya
- yang sangat penting sekali, alun alun kota Wonosobo ini tidak jauh dari masjid …"," kota yang asri dengan cuaca sejuk dingin
 alun alun kota yang terawat kebersihan dan kenyamanannya
 yang sangat penting sekali alun alun kota Wonosobo ini tidak jauh dari masjid "," kota yang asri dengan cuaca sejuk dingin
 alun alun kota yang terawat kebersihan dan kenyamanannya
 yang sangat penting sekali alun alun kota wonosobo ini tidak jauh dari masjid ",kota yang asri dengan cuaca sejuk dingin alun alun kota yang terawat kebersihan dan kenyamanannya yang sangat penting sekali alun alun kota wonosobo ini tidak jauh dari masjid,"['kota', 'yang', 'asri', 'dengan', 'cuaca', 'sejuk', 'dingin', 'alun', 'alun', 'kota', 'yang', 'terawat', 'kebersihan', 'dan', 'kenyamanannya', 'yang', 'sangat', 'penting', 'sekali', 'alun', 'alun', 'kota', 'wonosobo', 'ini', 'tidak', 'jauh', 'dari', 'masjid']","['kota', 'asri', 'cuaca', 'sejuk', 'dingin', 'alun', 'alun', 'kota', 'terawat', 'kebersihan', 'kenyamanannya', 'alun', 'alun', 'kota', 'wonosobo', 'masjid']",kota asri cuaca sejuk dingin alun alun kota awat bersih nyaman alun alun kota wonosobo masjid
5 bulan lalu,Nyobain mie ongklok sate kambing muda sama batagor sembari rehat dari perjalanan dan memang syahdu dan enak next bakal mampir santai lagi,Nyobain mie ongklok sate kambing muda sama batagor sembari rehat dari perjalanan dan memang syahdu dan enak next bakal mampir santai lagi,nyobain mie ongklok sate kambing muda sama batagor sembari rehat dari perjalanan dan memang syahdu dan enak next bakal mampir santai lagi,mencoba mie ongklok sate kambing muda sama batagor sembari rehat dari perjalanan dan memang syahdu dan enak next bakal mampir santai lagi,"['mencoba', 'mie', 'ongklok', 'sate', 'kambing', 'muda', 'sama', 'batagor', 'sembari', 'rehat', 'dari', 'perjalanan', 'dan', 'memang', 'syahdu', 'dan', 'enak', 'next', 'bakal', 'mampir', 'santai', 'lagi']","['mencoba', 'mie', 'ongklok', 'sate', 'kambing', 'muda', 'batagor', 'sembari', 'rehat', 'perjalanan', 'syahdu', 'enak', 'next', 'mampir', 'santai']",coba mie ongklok sate kambing muda batagor sembari rehat jalan syahdu enak next mampir santai
5 bulan lalu,Green 💚 …,Green  ,green  ,green,['green'],['green'],green
5 bulan lalu,Tidak banyak hal yang bisa dilihat dan dinikmati.,Tidak banyak hal yang bisa dilihat dan dinikmati,tidak banyak hal yang bisa dilihat dan dinikmati,tidak banyak hal yang bisa dilihat dan dinikmati,"['tidak', 'banyak', 'hal', 'yang', 'bisa', 'dilihat', 'dan', 'dinikmati']",['dinikmati'],nikmat
5 bulan lalu,Kotanya nyaman & adem,Kotanya nyaman  adem,kotanya nyaman  adem,kotanya nyaman adem,"['kotanya', 'nyaman', 'adem']","['kotanya', 'nyaman', 'adem']",kota nyaman adem
5 bulan lalu,"Tempatnya nyaman dan sejuk, kalau sore banyak pedagang kaki lima makanannya enak.",Tempatnya nyaman dan sejuk kalau sore banyak pedagang kaki lima makanannya enak,tempatnya nyaman dan sejuk kalau sore banyak pedagang kaki lima makanannya enak,tempatnya nyaman dan sejuk kalau sore banyak pedagang kaki lima makanannya enak,"['tempatnya', 'nyaman', 'dan', 'sejuk', 'kalau', 'sore', 'banyak', 'pedagang', 'kaki', 'lima', 'makanannya', 'enak']","['tempatnya', 'nyaman', 'sejuk', 'sore', 'pedagang', 'kaki', 'makanannya', 'enak']",tempat nyaman sejuk sore dagang kaki makan enak
5 bulan lalu,Tempat menikmati suasana kota kabupaten pada umumnya. Banyak fasilitas bermain untuk anak anak. Ada masjid Agung Jamik. Ada kolam ikan besar,Tempat menikmati suasana kota kabupaten pada umumnya Banyak fasilitas bermain untuk anak anak Ada masjid Agung Jamik Ada kolam ikan besar,tempat menikmati suasana kota kabupaten pada umumnya banyak fasilitas bermain untuk anak anak ada masjid agung jamik ada kolam ikan besar,tempat menikmati suasana kota kabupaten pada umumnya banyak fasilitas bermain untuk anak anak ada masjid agung jamik ada kolam ikan besar,"['tempat', 'menikmati', 'suasana', 'kota', 'kabupaten', 'pada', 'umumnya', 'banyak', 'fasilitas', 'bermain', 'untuk', 'anak', 'anak', 'ada', 'masjid', 'agung', 'jamik', 'ada', 'kolam', 'ikan', 'besar']","['menikmati', 'suasana', 'kota', 'kabupaten', 'fasilitas', 'bermain', 'anak', 'anak', 'masjid', 'agung', 'jamik', 'kolam', 'ikan']",nikmat suasana kota kabupaten fasilitas main anak anak masjid agung jamik kolam ikan
5 bulan lalu,"Jos alun alun nya, tiap malam Minggu ramai banget",Jos alun alun nya tiap malam Minggu ramai banget,jos alun alun nya tiap malam minggu ramai banget,jos alun alun ya tiap malam minggu ramai banget,"['jos', 'alun', 'alun', 'ya', 'tiap', 'malam', 'minggu', 'ramai', 'banget']","['jos', 'alun', 'alun', 'ya', 'malam', 'minggu', 'ramai', 'banget']",jos alun alun ya malam minggu ramai banget
5 bulan lalu,banyak jajanan,banyak jajanan,banyak jajanan,banyak jajanan,"['banyak', 'jajanan']",['jajanan'],jajan
5 bulan lalu,Tugu Dieng Banjarnegara,Tugu Dieng Banjarnegara,tugu dieng banjarnegara,tugu dieng banjarnegara,"['tugu', 'dieng', 'banjarnegara']","['tugu', 'dieng', 'banjarnegara']",tugu dieng banjarnegara
5 bulan lalu,"Enak syahdu banget, hanya saja burung nya meresahkan kan sekali 😩 …",Enak syahdu banget hanya saja burung nya meresahkan kan sekali  ,enak syahdu banget hanya saja burung nya meresahkan kan sekali  ,enak syahdu banget hanya saja burung ya meresahkan kan sekali,"['enak', 'syahdu', 'banget', 'hanya', 'saja', 'burung', 'ya', 'meresahkan', 'kan', 'sekali']","['enak', 'syahdu', 'banget', 'burung', 'ya', 'meresahkan']",enak syahdu banget burung ya resah
5 bulan lalu,"Sejuk, asri, dekat banget tempat jajan allure, makanannya enak enak, tempatnya nyaman.
Keren","Sejuk asri dekat banget tempat jajan allure makanannya enak enak tempatnya nyaman
Keren","sejuk asri dekat banget tempat jajan allure makanannya enak enak tempatnya nyaman
keren",sejuk asri dekat banget tempat jajan allure makanannya enak enak tempatnya nyaman keren,"['sejuk', 'asri', 'dekat', 'banget', 'tempat', 'jajan', 'allure', 'makanannya', 'enak', 'enak', 'tempatnya', 'nyaman', 'keren']","['sejuk', 'asri', 'banget', 'jajan', 'allure', 'makanannya', 'enak', 'enak', 'tempatnya', 'nyaman', 'keren']",sejuk asri banget jajan allure makan enak enak tempat nyaman keren
