waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
sebulan lalu,Sangat ramai banyak jajanan,Sangat ramai banyak jajanan,sangat ramai banyak jajanan,sangat ramai banyak jajanan,"['sangat', 'ramai', 'banyak', 'jajanan']","['ramai', 'jajanan']",ramai jajan
sebulan lalu,"banyak kuliner tradisional, mie ongklok, sate kelinci, etc",banyak kuliner tradisional mie ongklok sate kelinci etc,banyak kuliner tradisional mie ongklok sate kelinci etc,banyak kuliner tradisional mie ongklok sate kelinci,"['banyak', 'kuliner', 'tradisional', 'mie', 'ongklok', 'sate', 'kelinci']","['kuliner', 'tradisional', 'mie', 'ongklok', 'sate', 'kelinci']",kuliner tradisional mie ongklok sate kelinci
sebulan lalu,Event-event besar pasca lebaran termasuk yang ditunggu masyarakat luar Wonosobo.,Eventevent besar pasca lebaran termasuk yang ditunggu masyarakat luar Wonosobo,eventevent besar pasca lebaran termasuk yang ditunggu masyarakat luar wonosobo,acara besar pasca lebaran termasuk yang ditunggu masyarakat luar wonosobo,"['acara', 'besar', 'pasca', 'lebaran', 'termasuk', 'yang', 'ditunggu', 'masyarakat', 'luar', 'wonosobo']","['acara', 'pasca', 'lebaran', 'ditunggu', 'masyarakat', 'wonosobo']",acara pasca lebaran tunggu masyarakat wonosobo
sebulan lalu,"Jangan bilang pernah ke Wonosobo kalau belum sempetin mampir ke Alun-alunnya. Fasilitas rekreasional yang asri dengan masyarakatnya yang ramah. Sangat cocok untuk berolahraga jogging, cari makan, atau sekedar jalan-jalan buat lepasin …",Jangan bilang pernah ke Wonosobo kalau belum sempetin mampir ke Alunalunnya Fasilitas rekreasional yang asri dengan masyarakatnya yang ramah Sangat cocok untuk berolahraga jogging cari makan atau sekedar jalanjalan buat lepasin ,jangan bilang pernah ke wonosobo kalau belum sempetin mampir ke alunalunnya fasilitas rekreasional yang asri dengan masyarakatnya yang ramah sangat cocok untuk berolahraga jogging cari makan atau sekedar jalanjalan buat lepasin ,jangan bilang pernah ke wonosobo kalau belum sempetin mampir ke alunalunnya fasilitas rekreasional yang asri dengan masyarakatnya yang ramah sangat cocok untuk berolahraga jogging cari makan atau sekedar berjalan buat melepas,"['jangan', 'bilang', 'pernah', 'ke', 'wonosobo', 'kalau', 'belum', 'sempetin', 'mampir', 'ke', 'alunalunnya', 'fasilitas', 'rekreasional', 'yang', 'asri', 'dengan', 'masyarakatnya', 'yang', 'ramah', 'sangat', 'cocok', 'untuk', 'berolahraga', 'jogging', 'cari', 'makan', 'atau', 'sekedar', 'berjalan', 'buat', 'melepas']","['bilang', 'wonosobo', 'sempetin', 'mampir', 'alunalunnya', 'fasilitas', 'rekreasional', 'asri', 'masyarakatnya', 'ramah', 'cocok', 'berolahraga', 'jogging', 'cari', 'makan', 'sekedar', 'berjalan', 'melepas']",bilang wonosobo sempetin mampir alunalunnya fasilitas rekreasional asri masyarakat ramah cocok olahraga jogging cari makan dar jalan lepas
sebulan lalu,"SEKEDAR SARAN AJA KALO BISA JANGAN NAIK OJEK DI PENGKOLAN SITU ADA OKNUM YANG tidak jelas marah marah CUMA GARA GARA GA BISA DI BAYAR DENGAN TRANSfER , PADAHAL POSISINYA DI DISITU BISA KE ATM DULU BUAT NGAMBIL DUITNYA ,DIA MALAH MILIH BUAT MILIH BUAT …",SEKEDAR SARAN AJA KALO BISA JANGAN NAIK OJEK DI PENGKOLAN SITU ADA OKNUM YANG tidak jelas marah marah CUMA GARA GARA GA BISA DI BAYAR DENGAN TRANSfER  PADAHAL POSISINYA DI DISITU BISA KE ATM DULU BUAT NGAMBIL DUITNYA DIA MALAH MILIH BUAT MILIH BUAT ,sekedar saran aja kalo bisa jangan naik ojek di pengkolan situ ada oknum yang tidak jelas marah marah cuma gara gara ga bisa di bayar dengan transfer  padahal posisinya di disitu bisa ke atm dulu buat ngambil duitnya dia malah milih buat milih buat ,sekedar saran saja kalau bisa jangan naik ojek di pengkolan situ ada oknum yang tidak jelas marah marah cuma gara gara tidak bisa di bayar dengan transfer padahal posisinya di disitu bisa ke atm dulu buat ngambil duitnya dia malah memilih buat memilih buat,"['sekedar', 'saran', 'saja', 'kalau', 'bisa', 'jangan', 'naik', 'ojek', 'di', 'pengkolan', 'situ', 'ada', 'oknum', 'yang', 'tidak', 'jelas', 'marah', 'marah', 'cuma', 'gara', 'gara', 'tidak', 'bisa', 'di', 'bayar', 'dengan', 'transfer', 'padahal', 'posisinya', 'di', 'disitu', 'bisa', 'ke', 'atm', 'dulu', 'buat', 'ngambil', 'duitnya', 'dia', 'malah', 'memilih', 'buat', 'memilih', 'buat']","['sekedar', 'saran', 'ojek', 'pengkolan', 'situ', 'oknum', 'marah', 'marah', 'gara', 'gara', 'bayar', 'transfer', 'posisinya', 'disitu', 'atm', 'ngambil', 'duitnya', 'memilih', 'memilih']",dar saran ojek pengkol situ oknum marah marah gara gara bayar transfer posisi situ atm ngambil duit pilih pilih
sebulan lalu,Cocok buat main sama keluarga,Cocok buat main sama keluarga,cocok buat main sama keluarga,cocok buat main sama keluarga,"['cocok', 'buat', 'main', 'sama', 'keluarga']","['cocok', 'main', 'keluarga']",cocok main keluarga
sebulan lalu,kalau beli makanan dicoba dulu jangan langsung borong,kalau beli makanan dicoba dulu jangan langsung borong,kalau beli makanan dicoba dulu jangan langsung borong,kalau beli makanan dicoba dulu jangan langsung borong,"['kalau', 'beli', 'makanan', 'dicoba', 'dulu', 'jangan', 'langsung', 'borong']","['beli', 'makanan', 'dicoba', 'langsung', 'borong']",beli makan coba langsung borong
sebulan lalu,"Alun alunnya rapi tapi masih asri (banyak pedagang kaki lima) suka sekali
tapi parkirnya kayak di GBK, 5000 untuk 1 motor buset dah
Padahal UMK Wonosobo cuma setengahnya UMK Jakarta.","Alun alunnya rapi tapi masih asri banyak pedagang kaki lima suka sekali
tapi parkirnya kayak di GBK  untuk  motor buset dah
Padahal UMK Wonosobo cuma setengahnya UMK Jakarta","alun alunnya rapi tapi masih asri banyak pedagang kaki lima suka sekali
tapi parkirnya kayak di gbk  untuk  motor buset dah
padahal umk wonosobo cuma setengahnya umk jakarta",alun alunnya rapi tapi masih asri banyak pedagang kaki lima suka sekali tapi parkirnya kayak di gbk untuk motor wow sudah padahal wonosobo cuma setengahnya jakarta,"['alun', 'alunnya', 'rapi', 'tapi', 'masih', 'asri', 'banyak', 'pedagang', 'kaki', 'lima', 'suka', 'sekali', 'tapi', 'parkirnya', 'kayak', 'di', 'gbk', 'untuk', 'motor', 'wow', 'sudah', 'padahal', 'wonosobo', 'cuma', 'setengahnya', 'jakarta']","['alun', 'alunnya', 'rapi', 'asri', 'pedagang', 'kaki', 'suka', 'parkirnya', 'kayak', 'gbk', 'motor', 'wow', 'wonosobo', 'setengahnya', 'jakarta']",alun alun rapi asri dagang kaki suka parkir kayak gbk motor wow wonosobo tengah jakarta
sebulan lalu,"Lebaran di alun alun Wonosobo,",Lebaran di alun alun Wonosobo,lebaran di alun alun wonosobo,lebaran di alun alun wonosobo,"['lebaran', 'di', 'alun', 'alun', 'wonosobo']","['lebaran', 'alun', 'alun', 'wonosobo']",lebaran alun alun wonosobo
sebulan lalu,"Iseng pengen maen ke sini dan pas saya datang ""wah keren banget ini alun alun

Mau ngadem? Bisa …","Iseng pengen maen ke sini dan pas saya datang wah keren banget ini alun alun

Mau ngadem Bisa ","iseng pengen maen ke sini dan pas saya datang wah keren banget ini alun alun

mau ngadem bisa ",iseng pengin main ke sini dan pas saya datang wah keren banget ini alun alun mau ngadem bisa,"['iseng', 'pengin', 'main', 'ke', 'sini', 'dan', 'pas', 'saya', 'datang', 'wah', 'keren', 'banget', 'ini', 'alun', 'alun', 'mau', 'ngadem', 'bisa']","['iseng', 'pengin', 'main', 'pas', 'keren', 'banget', 'alun', 'alun', 'ngadem']",iseng pengin main pas keren banget alun alun ngadem
sebulan lalu,Bagunan masjidnya bagus dan modern.. toiletnya bersih terawat.. rekomended banget nih,Bagunan masjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,bagunan masjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,bagunan masjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,"['bagunan', 'masjidnya', 'bagus', 'dan', 'modern', 'toiletnya', 'bersih', 'terawat', 'rekomended', 'banget', 'nih']","['bagunan', 'masjidnya', 'bagus', 'modern', 'toiletnya', 'bersih', 'terawat', 'rekomended', 'banget', 'nih']",bagunan masjid bagus modern toilet bersih awat rekomended banget nih
sebulan lalu,Sangat asri dan nyaman,Sangat asri dan nyaman,sangat asri dan nyaman,sangat asri dan nyaman,"['sangat', 'asri', 'dan', 'nyaman']","['asri', 'nyaman']",asri nyaman
sebulan lalu,Tempat pelarian terbaik aku...,Tempat pelarian terbaik aku,tempat pelarian terbaik aku,tempat pelarian terbaik aku,"['tempat', 'pelarian', 'terbaik', 'aku']","['pelarian', 'terbaik']",lari baik
